"","sub","sulci","dice","method","type"
"188",110613,"prcus-i",0.234538153,"CNN","less prominent sulci"
"189",112920,"prcus-i",0.884141331,"CNN","less prominent sulci"
"190",114924,"prcus-i",0.826943005,"CNN","less prominent sulci"
"191",128127,"prcus-i",0,"CNN","less prominent sulci"
"192",133928,"prcus-i",0.281173594,"CNN","less prominent sulci"
"193",144125,"prcus-i",0.020905923,"CNN","less prominent sulci"
"194",146937,"prcus-i",0.486607143,"CNN","less prominent sulci"
"195",151425,"prcus-i",0.044817927,"CNN","less prominent sulci"
"196",151829,"prcus-i",0.925960637,"CNN","less prominent sulci"
"197",164939,"prcus-i",0.826709062,"CNN","less prominent sulci"
"198",176744,"prcus-i",0.155880306,"CNN","less prominent sulci"
"199",180937,"prcus-i",0.384512684,"CNN","less prominent sulci"
"200",185947,"prcus-i",0.877523553,"CNN","less prominent sulci"
"201",214019,"prcus-i",0.756335283,"CNN","less prominent sulci"
"202",268749,"prcus-i",0.784260516,"CNN","less prominent sulci"
"203",365343,"prcus-i",0.799065421,"CNN","less prominent sulci"
"204",380036,"prcus-i",0.642361111,"CNN","less prominent sulci"
"205",517239,"prcus-i",0.644295302,"CNN","less prominent sulci"
"206",522434,"prcus-i",0.065116279,"CNN","less prominent sulci"
"207",531536,"prcus-i",0.266666667,"CNN","less prominent sulci"
"208",566454,"prcus-i",0.046052632,"CNN","less prominent sulci"
"209",585256,"prcus-i",0.722560976,"CNN","less prominent sulci"
"210",622236,"prcus-i",0.420118343,"CNN","less prominent sulci"
"211",644044,"prcus-i",0.702222222,"CNN","less prominent sulci"
"212",679770,"prcus-i",0,"CNN","less prominent sulci"
"213",687163,"prcus-i",0.154115587,"CNN","less prominent sulci"
"214",867468,"prcus-i",0,"CNN","less prominent sulci"
"215",910241,"prcus-i",0.616387337,"CNN","less prominent sulci"
"216",959574,"prcus-i",0,"CNN","less prominent sulci"
"217",100206,"prcus-a",0.574443142,"CNN","less prominent sulci"
"218",100307,"prcus-a",0,"CNN","less prominent sulci"
"219",100408,"prcus-a",0.750304507,"CNN","less prominent sulci"
"220",100610,"prcus-a",0.915159944,"CNN","less prominent sulci"
"221",101006,"prcus-a",0.690909091,"CNN","less prominent sulci"
"222",101107,"prcus-a",0,"CNN","less prominent sulci"
"223",101309,"prcus-a",0.828178694,"CNN","less prominent sulci"
"224",101410,"prcus-a",0.8828125,"CNN","less prominent sulci"
"225",101915,"prcus-a",0.884931507,"CNN","less prominent sulci"
"226",102008,"prcus-a",0.796594134,"CNN","less prominent sulci"
"227",102311,"prcus-a",0.529220779,"CNN","less prominent sulci"
"228",102513,"prcus-a",0.45799458,"CNN","less prominent sulci"
"229",102816,"prcus-a",0.745454545,"CNN","less prominent sulci"
"230",103111,"prcus-a",0.893660532,"CNN","less prominent sulci"
"231",103414,"prcus-a",0.836956522,"CNN","less prominent sulci"
"232",103515,"prcus-a",0.416996047,"CNN","less prominent sulci"
"233",103818,"prcus-a",0.434782609,"CNN","less prominent sulci"
"234",104012,"prcus-a",0.79338843,"CNN","less prominent sulci"
"235",104416,"prcus-a",0.050955414,"CNN","less prominent sulci"
"236",104820,"prcus-a",0.824940048,"CNN","less prominent sulci"
"237",105014,"prcus-a",0.41025641,"CNN","less prominent sulci"
"238",105115,"prcus-a",0.763102725,"CNN","less prominent sulci"
"239",105216,"prcus-a",0.78041958,"CNN","less prominent sulci"
"240",105620,"prcus-a",0.754940711,"CNN","less prominent sulci"
"241",105923,"prcus-a",0.256880734,"CNN","less prominent sulci"
"242",106016,"prcus-a",0,"CNN","less prominent sulci"
"243",106319,"prcus-a",0.250434783,"CNN","less prominent sulci"
"244",106521,"prcus-a",0,"CNN","less prominent sulci"
"245",107018,"prcus-a",0.88045007,"CNN","less prominent sulci"
"246",107220,"prcus-a",0.762829404,"CNN","less prominent sulci"
"247",107321,"prcus-a",0.71070615,"CNN","less prominent sulci"
"248",107422,"prcus-a",0.369915579,"CNN","less prominent sulci"
"249",107725,"prcus-a",0.778816199,"CNN","less prominent sulci"
"250",108121,"prcus-a",0.711340206,"CNN","less prominent sulci"
"251",108222,"prcus-a",0.677595628,"CNN","less prominent sulci"
"252",108323,"prcus-a",0.849377123,"CNN","less prominent sulci"
"253",108525,"prcus-a",0.868439971,"CNN","less prominent sulci"
"254",108828,"prcus-a",0.129221733,"CNN","less prominent sulci"
"255",109123,"prcus-a",0.613953488,"CNN","less prominent sulci"
"256",109325,"prcus-a",0.346153846,"CNN","less prominent sulci"
"257",109830,"prcus-a",0.012847966,"CNN","less prominent sulci"
"258",110007,"prcus-a",0.878103837,"CNN","less prominent sulci"
"259",110411,"prcus-a",0.788927336,"CNN","less prominent sulci"
"260",110613,"prcus-a",0.639495391,"CNN","less prominent sulci"
"261",112920,"prcus-a",0.726027397,"CNN","less prominent sulci"
"262",114924,"prcus-a",0,"CNN","less prominent sulci"
"263",128127,"prcus-a",0,"CNN","less prominent sulci"
"264",133928,"prcus-a",0,"CNN","less prominent sulci"
"265",144125,"prcus-a",0.239215686,"CNN","less prominent sulci"
"266",146937,"prcus-a",0.774553571,"CNN","less prominent sulci"
"267",151425,"prcus-a",0.435045317,"CNN","less prominent sulci"
"268",151829,"prcus-a",0.59754738,"CNN","less prominent sulci"
"269",164939,"prcus-a",0.592105263,"CNN","less prominent sulci"
"270",176744,"prcus-a",0.512626263,"CNN","less prominent sulci"
"271",180937,"prcus-a",0.797916667,"CNN","less prominent sulci"
"272",185947,"prcus-a",0,"CNN","less prominent sulci"
"273",214019,"prcus-a",0.84,"CNN","less prominent sulci"
"274",268749,"prcus-a",0.205669817,"CNN","less prominent sulci"
"275",365343,"prcus-a",0.438672439,"CNN","less prominent sulci"
"276",380036,"prcus-a",0.722330097,"CNN","less prominent sulci"
"277",517239,"prcus-a",0.914201183,"CNN","less prominent sulci"
"278",522434,"prcus-a",0.901886792,"CNN","less prominent sulci"
"279",531536,"prcus-a",0.537834692,"CNN","less prominent sulci"
"280",566454,"prcus-a",0,"CNN","less prominent sulci"
"281",585256,"prcus-a",0.662295082,"CNN","less prominent sulci"
"282",622236,"prcus-a",0.349563046,"CNN","less prominent sulci"
"283",644044,"prcus-a",0.598130841,"CNN","less prominent sulci"
"284",679770,"prcus-a",0.737120211,"CNN","less prominent sulci"
"285",687163,"prcus-a",0.052631579,"CNN","less prominent sulci"
"286",867468,"prcus-a",0.74796748,"CNN","less prominent sulci"
"287",910241,"prcus-a",0.730523627,"CNN","less prominent sulci"
"288",959574,"prcus-a",0.258389262,"CNN","less prominent sulci"
"289",100206,"spls",0.591824283,"CNN","prominent sulci"
"290",100307,"spls",0.55907781,"CNN","prominent sulci"
"291",100408,"spls",0.7788899,"CNN","prominent sulci"
"292",100610,"spls",0.912596401,"CNN","prominent sulci"
"293",101006,"spls",0.864988558,"CNN","prominent sulci"
"294",101107,"spls",0.649135988,"CNN","prominent sulci"
"295",101309,"spls",0.847840532,"CNN","prominent sulci"
"296",101410,"spls",0.723776224,"CNN","prominent sulci"
"297",101915,"spls",0.907244414,"CNN","prominent sulci"
"298",102008,"spls",0.864236661,"CNN","prominent sulci"
"299",102311,"spls",0.906045157,"CNN","prominent sulci"
"300",102513,"spls",0.923413567,"CNN","prominent sulci"
"301",102816,"spls",0.779086892,"CNN","prominent sulci"
"302",103111,"spls",0.84972973,"CNN","prominent sulci"
"303",103414,"spls",0.828469751,"CNN","prominent sulci"
"304",103515,"spls",0.733727811,"CNN","prominent sulci"
"305",103818,"spls",0.829861111,"CNN","prominent sulci"
"306",104012,"spls",0.872013652,"CNN","prominent sulci"
"307",104416,"spls",0.887159533,"CNN","prominent sulci"
"308",104820,"spls",0.815533981,"CNN","prominent sulci"
"309",105014,"spls",0.639575972,"CNN","prominent sulci"
"310",105115,"spls",0.782945736,"CNN","prominent sulci"
"311",105216,"spls",0.740740741,"CNN","prominent sulci"
"312",105620,"spls",0.792619926,"CNN","prominent sulci"
"313",105923,"spls",0.920136519,"CNN","prominent sulci"
"314",106016,"spls",0.714770798,"CNN","prominent sulci"
"315",106319,"spls",0.883146067,"CNN","prominent sulci"
"316",106521,"spls",0.787616991,"CNN","prominent sulci"
"317",107018,"spls",0.88869258,"CNN","prominent sulci"
"318",107220,"spls",0.663934426,"CNN","prominent sulci"
"319",107321,"spls",0.820063694,"CNN","prominent sulci"
"320",107422,"spls",0.857556038,"CNN","prominent sulci"
"321",107725,"spls",0.893674293,"CNN","prominent sulci"
"322",108121,"spls",0.935661765,"CNN","prominent sulci"
"323",108222,"spls",0.886376484,"CNN","prominent sulci"
"324",108323,"spls",0.853582555,"CNN","prominent sulci"
"325",108525,"spls",0.759183673,"CNN","prominent sulci"
"326",108828,"spls",0.853560233,"CNN","prominent sulci"
"327",109123,"spls",0.943089431,"CNN","prominent sulci"
"328",109325,"spls",0.900983607,"CNN","prominent sulci"
"329",109830,"spls",0.828961175,"CNN","prominent sulci"
"330",110007,"spls",0.801346801,"CNN","prominent sulci"
"331",110411,"spls",0.857916103,"CNN","prominent sulci"
"332",110613,"spls",0.730349345,"CNN","prominent sulci"
"333",112920,"spls",0.759517177,"CNN","prominent sulci"
