"","sub","hemi","tert_group","R_coord","A_coord","S_coord","tert_group3","ControlB_R_coord","ControlB_A_coord","ControlB_S_coord","ControlC_R_coord","ControlC_A_coord","ControlC_S_coord","dataset"
"52",522434,"rh","rh_12",5.84622807017544,3.96154385964912,12.2116140350877,"without_3",6.47354022988506,-11.737867816092,13.4406091954023,5.75663035714286,-7.893675,11.4470625,"HCP_discovery"
"53",531536,"lh","lh_12",-3.77432584269663,-12.4703707865169,15.2128651685393,"without_3",-2.62675,-17.82326,13.24737,-3.31378039215686,-13.2350078431373,9.41135294117647,"HCP_discovery"
"54",531536,"rh","rh_23",6.38481132075472,-15.9109056603774,15.9313396226415,"with_3",6.29799435028248,-22.6397062146893,15.5933163841808,6.74623149606299,-10.9728456692913,14.9610519685039,"HCP_discovery"
"55",566454,"lh","lh_2",-2.99055555555556,-5.35977777777778,12.3236666666667,"without_3",-2.92340268456376,-7.77687248322148,13.1274161073826,-3.43985451197053,-1.88897237569061,7.97761510128913,"HCP_discovery"
"56",566454,"rh","rh_123",6.6092865497076,-13.1224678362573,13.7105029239766,"with_3",6.85131908831909,-14.7252792022792,13.4642621082621,6.14469230769231,-4.26791771019678,7.7370626118068,"HCP_discovery"
"57",585256,"lh","lh_12",-3.46892307692308,-12.4703846153846,10.5476153846154,"without_3",-3.016878125,-13.467309375,8.91606875,-4.31151131221719,-3.75523529411765,7.62817194570136,"HCP_discovery"
"58",585256,"rh","rh_2",6.05934057971014,-15.9638550724638,11.2183260869565,"without_3",5.23032962962963,-17.8555222222222,10.011637037037,7.01550358680057,-8.28364418938307,10.5652611190818,"HCP_discovery"
"59",622236,"lh","lh_123",-4.23913559322034,-9.75345762711864,11.8389152542373,"with_3",-4.03161267605634,-12.3141056338028,11.5033732394366,-5.66754922279793,-11.9752279792746,9.51914766839378,"HCP_discovery"
"60",622236,"rh","rh_2",6.03629464285714,-5.60608035714286,12.8266964285714,"without_3",7.46211912225705,-14.8252570532915,13.5663824451411,6.35133051869723,-9.63381302774427,12.7861544028951,"HCP_discovery"
"61",644044,"lh","lh_23",-3.73261818181818,-12.2632181818182,13.1327636363636,"with_3",-3.66448611111111,-13.153,13.8310347222222,-4.79096706586826,-8.74418862275449,9.79380239520958,"HCP_discovery"
