sub,hemi,label,total_surface_area_.mm.2.,cortical_thickness_mean,dataset,group,group_hemi,sulcal_depth_mm
002_S_4213,rh,mcgs,751,2.182,ADNI,older adult,oa rh,12.7282354550619
002_S_4213,rh,pos,1241,2.096,ADNI,older adult,oa rh,19.5308277464537
002_S_4213,rh,prculs,372,1.762,ADNI,older adult,oa rh,14.5765445014647
002_S_4213,rh,prcus-a,846,2.015,ADNI,older adult,oa rh,15.0767340317066
002_S_4213,rh,prcus-i,339,1.683,ADNI,older adult,oa rh,6.32219934194134
002_S_4213,rh,prcus-p,189,2.299,ADNI,older adult,oa rh,8.00715813700388
002_S_4213,rh,spls,585,2.418,ADNI,older adult,oa rh,10.0228716942788
002_S_4213,rh,sps,723,1.959,ADNI,older adult,oa rh,15.090136407792
002_S_4213,rh,sspls,25,2.567,ADNI,older adult,oa rh,1.47854037668645
002_S_4225,lh,icgs-p,31,2.462,ADNI,older adult,oa lh,4.57116393480621
002_S_4225,lh,ifrms,103,2.908,ADNI,older adult,oa lh,5.08544300162576
002_S_4225,lh,mcgs,596,1.775,ADNI,older adult,oa lh,15.1516989491226
002_S_4225,lh,pos,1240,1.944,ADNI,older adult,oa lh,21.9177773593258
002_S_4225,lh,prculs,408,1.645,ADNI,older adult,oa lh,13.722154333697
002_S_4225,lh,prcus-a,439,1.766,ADNI,older adult,oa lh,10.9920540776837
002_S_4225,lh,prcus-i,430,1.687,ADNI,older adult,oa lh,10.8535624086832
002_S_4225,lh,prcus-p,29,2.301,ADNI,older adult,oa lh,3.25962878136293
002_S_4225,lh,spls,442,2.225,ADNI,older adult,oa lh,13.5124606029563
002_S_4225,lh,sps,403,1.568,ADNI,older adult,oa lh,12.0951918117963
002_S_4225,rh,icgs-p,67,1.865,ADNI,older adult,oa rh,8.53365865542796
002_S_4225,rh,ifrms,99,2.422,ADNI,older adult,oa rh,3.86270964386964
002_S_4225,rh,mcgs,646,1.751,ADNI,older adult,oa rh,12.5432886125617
002_S_4225,rh,pos,1258,2.093,ADNI,older adult,oa rh,22.6033161612998
002_S_4225,rh,prculs,972,1.944,ADNI,older adult,oa rh,18.7472984104124
002_S_4225,rh,prcus-a,71,2.588,ADNI,older adult,oa rh,3.31128899417355
002_S_4225,rh,prcus-i,359,1.836,ADNI,older adult,oa rh,11.7804660552511
002_S_4225,rh,prcus-p,31,2.272,ADNI,older adult,oa rh,3.4503410201607
002_S_4225,rh,spls,361,2.248,ADNI,older adult,oa rh,12.2259055155972
002_S_4225,rh,sps,643,1.598,ADNI,older adult,oa rh,11.3332685207291
002_S_4262,lh,icgs-p,37,3.073,ADNI,older adult,oa lh,2.09862717982115
002_S_4262,lh,ifrms,110,3.259,ADNI,older adult,oa lh,3.59950059304244
002_S_4262,lh,mcgs,625,2.192,ADNI,older adult,oa lh,13.0889824113639
002_S_4262,lh,pos,1051,2.325,ADNI,older adult,oa lh,19.9495240611146
002_S_4262,lh,prculs,253,1.892,ADNI,older adult,oa lh,16.1015586082628
002_S_4262,lh,prcus-a,258,2.081,ADNI,older adult,oa lh,10.3315701154808
002_S_4262,lh,prcus-i,132,2.291,ADNI,older adult,oa lh,4.2083524545951
002_S_4262,lh,prcus-p,246,2.109,ADNI,older adult,oa lh,8.30669872996569
002_S_4262,lh,spls,429,2.755,ADNI,older adult,oa lh,10.6939954288455
002_S_4262,lh,sps,573,1.864,ADNI,older adult,oa lh,11.656087977581
002_S_4262,rh,ifrms,73,2.601,ADNI,older adult,oa rh,4.46503998287851
