"","sub","hemi","label","cortical_thickness_mean","myelin","dataset","ratio","label_dataset"
"221",128127,"lh","spls",2.57,1.32006645202637,"HCP_discovery",1.94687168669041,"spls d"
"222",128127,"lh","sspls",3.071,1.465513945,"HCP_discovery",2.0955105957726,"sspls d"
"223",128127,"rh","spls",2.608,1.32586014270782,"HCP_discovery",1.96702496439304,"spls d"
"224",133928,"lh","sspls",3.031,1.383345604,"HCP_discovery",2.19106490181177,"sspls d"
"225",133928,"lh","mcgs",2.108,1.29490888118744,"HCP_discovery",1.62791377109635,"MCGS d"
"226",133928,"rh","prcus-i",2.075,1.29938471317291,"HCP_discovery",1.59690965959816,"prcus-i d"
"227",133928,"rh","spls",2.65,1.33370769023895,"HCP_discovery",1.98694213086919,"spls d"
"228",133928,"rh","ifrms",3.149,1.32668459415436,"HCP_discovery",2.3735860157532,"ifrms d"
"229",133928,"lh","sps",1.826,1.2354656457901,"HCP_discovery",1.47798524889961,"sps d"
"230",133928,"lh","icgs-p",3.252,1.269079804,"HCP_discovery",2.56248660624025,"icgs-p d"
"231",133928,"rh","prcus-p",2.877,1.31561863422394,"HCP_discovery",2.1868039302264,"prcus-p d"
"232",133928,"rh","sspls",3.565,1.472930431,"HCP_discovery",2.42034513305537,"sspls d"
"233",133928,"rh","pos",2.438,1.42251217365265,"HCP_discovery",1.71386933985938,"POS d"
"234",133928,"rh","mcgs",2.102,1.347940325737,"HCP_discovery",1.55941621440156,"MCGS d"
"235",133928,"rh","prcus-a",2.191,1.30888378620148,"HCP_discovery",1.6739454053125,"prcus-a d"
"236",133928,"lh","spls",3.055,1.35443902015686,"HCP_discovery",2.25554635870295,"spls d"
"237",133928,"lh","ifrms",3.464,1.29879951477051,"HCP_discovery",2.66707829854099,"ifrms d"
"238",133928,"rh","prculs",2.375,1.34269881248474,"HCP_discovery",1.76882557571115,"prculs d"
"239",133928,"lh","prculs",2.111,1.4038462638855,"HCP_discovery",1.50372590952892,"prculs d"
"240",133928,"rh","sps",1.822,1.27656650543213,"HCP_discovery",1.4272660235459,"sps d"
"241",133928,"lh","prcus-i",2.163,1.30573344230652,"HCP_discovery",1.65654024773935,"prcus-i d"
"242",133928,"lh","prcus-a",2.916,1.31857848167419,"HCP_discovery",2.21147246108368,"prcus-a d"
"243",133928,"lh","pos",2.338,1.44394934177399,"HCP_discovery",1.6191703769383,"POS d"
"244",133928,"lh","prcus-p",2.737,1.4382735490799,"HCP_discovery",1.90297596848036,"prcus-p d"
"245",144125,"lh","mcgs",2.288,1.290167927742,"HCP_discovery",1.773412554135,"MCGS d"
"246",144125,"rh","sspls",2.698,1.370292068,"HCP_discovery",1.96892331423756,"sspls d"
"247",144125,"lh","prcus-p",2.74,1.36360633373261,"HCP_discovery",2.00937758370466,"prcus-p d"
"248",144125,"lh","prcus-a",2.157,1.32235670089722,"HCP_discovery",1.63117863624578,"prcus-a d"
"249",144125,"lh","prcus-i",2.096,1.31980204582214,"HCP_discovery",1.58811695029185,"prcus-i d"
"250",144125,"rh","prcus-a",2.405,1.30551862716675,"HCP_discovery",1.84217976668732,"prcus-a d"
"251",144125,"rh","prcus-i",2.234,1.31520974636078,"HCP_discovery",1.69858838575485,"prcus-i d"
"252",144125,"rh","ifrms",3.248,1.3231292963028,"HCP_discovery",2.45478654964094,"ifrms d"
"253",144125,"rh","icgs-p",3.137,1.392617822,"HCP_discovery",2.25259216882261,"icgs-p d"
"254",144125,"rh","spls",2.321,1.31589591503143,"HCP_discovery",1.76381731525062,"spls d"
"255",144125,"lh","spls",2.387,1.36174321174622,"HCP_discovery",1.75290023802582,"spls d"
"256",144125,"lh","prculs",1.829,1.39744222164154,"HCP_discovery",1.308819764907,"prculs d"
"257",144125,"lh","sps",2.205,1.25623512268066,"HCP_discovery",1.75524466733169,"sps d"
"258",144125,"lh","pos",2.326,1.46061766147614,"HCP_discovery",1.59247697830059,"POS d"
"259",144125,"rh","sps",2.149,1.24865913391113,"HCP_discovery",1.72104615394016,"sps d"
"260",144125,"rh","prcus-p",2.553,1.34100961685181,"HCP_discovery",1.90378947914892,"prcus-p d"
"261",144125,"rh","mcgs",2.129,1.35799670219421,"HCP_discovery",1.56775049347324,"MCGS d"
"262",144125,"rh","pos",2.314,1.429558634758,"HCP_discovery",1.61868141938209,"POS d"
"263",144125,"lh","ifrms",3.376,1.24671530723572,"HCP_discovery",2.70791573698204,"ifrms d"
"264",144125,"rh","prculs",2.211,1.43702602386475,"HCP_discovery",1.53859426571393,"prculs d"
"265",146937,"lh","prcus-a",2.175,1.29104244709015,"HCP_discovery",1.68468512007656,"prcus-a d"
"266",146937,"lh","prcus-i",2.126,1.27182281017303,"HCP_discovery",1.67161650427606,"prcus-i d"
"267",146937,"lh","mcgs",2.431,1.28098893165588,"HCP_discovery",1.89775254096657,"MCGS d"
"268",146937,"rh","mcgs",2.158,1.34252464771271,"HCP_discovery",1.60741927805693,"MCGS d"
"269",146937,"rh","prcus-a",2.367,1.27416849136353,"HCP_discovery",1.85768210094961,"prcus-a d"
