Sulci,beta
sspls-v,0.5384707309879273
mcgs,-1.0143801390905594
pos,-0.0
sbps,-0.0
prculs-d,-1.6173219957323313
prcus-p,-2.2054028866934394
prcus-i,-3.3945275654929334
prcus-a,-1.2171521600044706
ifrms,-2.900404384327532
sspls-v,0.35995189941386174
mcgs,-0.7100984104520817
pos,-0.0
sbps,0.005692459806997062
prculs-d,-1.6718687093214197
prcus-p,-2.439484124448123
prcus-i,-3.262069952660992
prcus-a,-1.4457464410293392
ifrms,-2.6173690418267426
sspls-v,0.5935653685830415
mcgs,-0.4169131422754189
pos,0.0
sbps,-0.0
prculs-d,-1.5441613162600178
prcus-p,-1.894882475113622
prcus-i,-3.0899844097374003
prcus-a,-1.3981250957214373
ifrms,-2.818961484835585
sspls-v,0.47396484631345753
mcgs,-0.7610908621004545
pos,0.18380811443075426
sbps,-0.011888554207289063
prculs-d,-1.3915690102905902
prcus-p,-3.061907424869947
prcus-i,-3.259516528842263
prcus-a,-1.9755172921482729
ifrms,-2.7948679719467266
sspls-v,1.4651394753056446
mcgs,-0.7282140819703764
pos,0.501375938182346
sbps,-0.27420459882313886
prculs-d,-1.472340189653735
prcus-p,-2.1773214983923936
prcus-i,-3.2972499361215055
prcus-a,-1.2468505031838957
ifrms,-2.929534505171391
sspls-v,0.35319752563156775
mcgs,-0.26292603291134037
pos,-0.39372933263325
sbps,-0.40575703348187114
