alpha_level,Sulci,beta,RMSE
4.489,pos,-0.0,5.44017094017094
4.489,prculs-d,-0.0,5.44017094017094
4.489,prcus-a,0.0,5.44017094017094
4.489,prcus-i,-0.0,5.44017094017094
4.489,prcus-p,-0.0,5.44017094017094
4.489,sbps,-0.0,5.44017094017094
4.489,sspls-v,-0.0,5.44017094017094
4.799,ifrms,-0.0,5.44017094017094
4.799,mcgs,0.0,5.44017094017094
4.799,pos,-0.0,5.44017094017094
4.799,prculs-d,-0.0,5.44017094017094
4.799,prcus-a,0.0,5.44017094017094
4.799,prcus-i,-0.0,5.44017094017094
4.799,prcus-p,-0.0,5.44017094017094
4.799,sbps,-0.0,5.44017094017094
4.799,sspls-v,-0.0,5.44017094017094
5.13,ifrms,-0.0,5.44017094017094
5.13,mcgs,0.0,5.44017094017094
5.13,pos,-0.0,5.44017094017094
5.13,prculs-d,-0.0,5.44017094017094
5.13,prcus-a,0.0,5.44017094017094
5.13,prcus-i,-0.0,5.44017094017094
5.13,prcus-p,-0.0,5.44017094017094
5.13,sbps,-0.0,5.44017094017094
5.13,sspls-v,-0.0,5.44017094017094
5.484,ifrms,-0.0,5.44017094017094
5.484,mcgs,0.0,5.44017094017094
5.484,pos,-0.0,5.44017094017094
5.484,prculs-d,-0.0,5.44017094017094
5.484,prcus-a,0.0,5.44017094017094
5.484,prcus-i,-0.0,5.44017094017094
5.484,prcus-p,-0.0,5.44017094017094
5.484,sbps,-0.0,5.44017094017094
5.484,sspls-v,-0.0,5.44017094017094
5.863,ifrms,-0.0,5.44017094017094
5.863,mcgs,0.0,5.44017094017094
5.863,pos,-0.0,5.44017094017094
5.863,prculs-d,-0.0,5.44017094017094
5.863,prcus-a,0.0,5.44017094017094
5.863,prcus-i,-0.0,5.44017094017094
5.863,prcus-p,-0.0,5.44017094017094
5.863,sbps,-0.0,5.44017094017094
5.863,sspls-v,-0.0,5.44017094017094
6.268,ifrms,-0.0,5.44017094017094
6.268,mcgs,0.0,5.44017094017094
6.268,pos,-0.0,5.44017094017094
6.268,prculs-d,-0.0,5.44017094017094
6.268,prcus-a,0.0,5.44017094017094
6.268,prcus-i,-0.0,5.44017094017094
6.268,prcus-p,-0.0,5.44017094017094
6.268,sbps,-0.0,5.44017094017094
6.268,sspls-v,-0.0,5.44017094017094
6.7,ifrms,-0.0,5.44017094017094
6.7,mcgs,0.0,5.44017094017094
6.7,pos,-0.0,5.44017094017094
6.7,prculs-d,-0.0,5.44017094017094
6.7,prcus-a,0.0,5.44017094017094
6.7,prcus-i,-0.0,5.44017094017094
6.7,prcus-p,-0.0,5.44017094017094
6.7,sbps,-0.0,5.44017094017094
6.7,sspls-v,-0.0,5.44017094017094
7.163,ifrms,-0.0,5.44017094017094
7.163,mcgs,0.0,5.44017094017094
