alpha_level,fold,RMSE,Sulci,beta,Model
0.1,16.0,5.536882178722349,sspls-v,2.0744720924975693,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,5.805180112136604,mcgs,0.2653057661667048,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,5.805180112136604,pos,-0.06148708507397333,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,5.805180112136604,sbps,-1.7076959782344392,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,5.805180112136604,prculs-d,-0.2624350031485528,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,5.805180112136604,prcus-p,2.1949325341968127,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,5.805180112136604,prcus-i,-0.09325895841886116,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,5.805180112136604,prcus-a,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,5.805180112136604,ifrms,-2.210401146305114,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,5.805180112136604,sspls-v,1.0639385913902213,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,5.966797666780967,mcgs,0.4189941266174378,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,5.966797666780967,pos,-0.07750206943210736,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,5.966797666780967,sbps,-1.3568789632628862,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,5.966797666780967,prculs-d,-0.14279931033652965,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,5.966797666780967,prcus-p,1.956742196432502,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,5.966797666780967,prcus-i,-0.13083341929398665,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,5.966797666780967,prcus-a,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,5.966797666780967,ifrms,-1.810843119094987,"Lasso(alpha=0.1, max_iter=10000)"
0.1,18.0,5.966797666780967,sspls-v,1.5033964231738408,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,5.9109280712989,mcgs,0.4633108429834226,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,5.9109280712989,pos,0.0022268382880680157,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,5.9109280712989,sbps,-1.5585443986992589,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,5.9109280712989,prculs-d,-0.23325206645865593,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,5.9109280712989,prcus-p,2.039056457947094,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,5.9109280712989,prcus-i,-0.21443369162345513,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,5.9109280712989,prcus-a,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,5.9109280712989,ifrms,-1.92193205490219,"Lasso(alpha=0.1, max_iter=10000)"
0.1,19.0,5.9109280712989,sspls-v,1.571003067428268,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,5.613707855194569,mcgs,0.7241015276376422,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,5.613707855194569,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,5.613707855194569,sbps,-1.8100503993455181,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,5.613707855194569,prculs-d,-0.15684276941126393,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,5.613707855194569,prcus-p,2.2230235358722514,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,5.613707855194569,prcus-i,-0.40044593340711887,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,5.613707855194569,prcus-a,0.0051246183280944995,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,5.613707855194569,ifrms,-2.2175698100319767,"Lasso(alpha=0.1, max_iter=10000)"
0.1,20.0,5.613707855194569,sspls-v,1.260804653129624,"Lasso(alpha=0.1, max_iter=10000)"
0.1,21.0,5.950547208940776,mcgs,0.2806333330985202,"Lasso(alpha=0.1, max_iter=10000)"
0.1,21.0,5.950547208940776,pos,0.0,"Lasso(alpha=0.1, max_iter=10000)"
