Sulci,beta
prculs-d,-0.17740104071857576
prcus-p,1.6227998687225884
prcus-i,-0.3977197851816767
prcus-a,0.06968821262850597
ifrms,-1.9637233911942231
sspls-v,1.1773506866322943
mcgs,0.4247298407755404
pos,-0.0
sbps,-1.708515414683952
prculs-d,-0.2979226307477842
prcus-p,1.9873257679447378
prcus-i,-0.053573305491808255
prcus-a,0.0
ifrms,-2.04220876724968
sspls-v,1.4386019049547056
mcgs,0.36901520961229156
pos,-0.0
sbps,-1.7612721631100368
prculs-d,-0.0
prcus-p,1.9120303927627722
prcus-i,-0.45013248573186065
prcus-a,-0.0
ifrms,-1.9288430106706764
sspls-v,1.591941343206239
mcgs,0.5342669325626775
pos,-0.0
sbps,-1.5960130573248625
prculs-d,-0.2304099075413208
prcus-p,1.9195444517786213
prcus-i,-0.2880755840260371
prcus-a,0.0
ifrms,-2.067174739760122
sspls-v,1.4532933066764298
mcgs,0.2977339235456388
pos,-0.3089203010541361
sbps,-1.619884438684701
prculs-d,-0.08760014587225597
prcus-p,2.3963096286724928
prcus-i,0.0
prcus-a,-0.08294600462023055
ifrms,-2.0086059800211076
sspls-v,1.2501176797490936
mcgs,1.0474488418899754
pos,0.2765632355734503
sbps,-2.0805771626207035
prculs-d,-0.3413819506575264
prcus-p,1.950941018303782
prcus-i,-0.24853543909866077
prcus-a,0.45684644238423056
ifrms,-2.2192147676185576
sspls-v,1.302735017228019
mcgs,0.3146236328043589
pos,0.11588177255378485
sbps,-1.1764979498836294
prculs-d,-0.0
prcus-p,2.1063728687948347
prcus-i,-0.1823531278477298
prcus-a,0.4591043601404196
ifrms,-1.8549316590956335
sspls-v,1.2505206988412547
mcgs,1.0102304809398635
pos,-0.0
sbps,-1.7785988573431128
prculs-d,0.20113846484084563
prcus-p,1.965333605591284
prcus-i,-0.3253965484773767
prcus-a,-0.0
ifrms,-1.397315901271822
sspls-v,2.0445137652362675
mcgs,0.24544395995299204
pos,-0.06301383400268076
sbps,-1.6790423554099285
prculs-d,-0.24911360443635006
prcus-p,2.184398830918089
prcus-i,-0.07601807328608073
prcus-a,-0.0
ifrms,-2.184057297105871
sspls-v,1.037863484886261
mcgs,0.39786532861943724
pos,-0.08099062746006176
sbps,-1.3256272394860462
prculs-d,-0.12811733813071297
prcus-p,1.9449412730028917
prcus-i,-0.11217229509514597
prcus-a,0.0
ifrms,-1.7791686703369656
sspls-v,1.4774745999057486
mcgs,0.4434730252151574
pos,0.0
sbps,-1.5315957804087177
prculs-d,-0.21920916815644703
prcus-p,2.028857565954649
prcus-i,-0.19818595561415445
prcus-a,-0.0
ifrms,-1.8939886012726728
sspls-v,1.5452174408812533
mcgs,0.7026024881453973
pos,-0.0
sbps,-1.7810768756545243
prculs-d,-0.14345372567620823
prcus-p,2.2108161029290487
prcus-i,-0.38606556222102334
prcus-a,0.0
ifrms,-2.1879800844043182
sspls-v,1.23625685265424
mcgs,0.2582179014632692
pos,0.0
sbps,-1.2168333886119607
prculs-d,-0.0
prcus-p,1.7779829632650368
prcus-i,-0.18903676857079504
prcus-a,-0.0
ifrms,-2.028069500448419
sspls-v,1.4696959280436772
mcgs,0.503547258209381
pos,-0.0
sbps,-1.6495703369018841
prculs-d,-0.17726445353723727
prcus-p,1.9435117023735666
prcus-i,-0.2691671547726075
prcus-a,0.0
ifrms,-1.9509064812481554
sspls-v,1.44469268316719
mcgs,0.5141464326009859
pos,-0.0
sbps,-1.5613566494923266
