alpha_level,fold,RMSE,Sulci,beta,Model
0.1,12.0,6.330441585741625,ifrms,-2.792327797914529,"Lasso(alpha=0.1, max_iter=10000)"
0.1,12.0,6.330441585741625,sspls-v,0.29830109843103125,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,6.236981240783285,mcgs,-0.7994115296311121,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,6.236981240783285,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,6.236981240783285,sbps,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,6.236981240783285,prculs-d,-1.5321688784695549,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,6.236981240783285,prcus-p,-1.8244498810907077,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,6.236981240783285,prcus-i,-3.5711127812864643,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,6.236981240783285,prcus-a,-1.2160159177523573,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,6.236981240783285,ifrms,-3.30547106094729,"Lasso(alpha=0.1, max_iter=10000)"
0.1,13.0,6.236981240783285,sspls-v,0.1867931438455201,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,6.132841495510065,mcgs,-0.6137098938565336,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,6.132841495510065,pos,-0.059704529279148676,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,6.132841495510065,sbps,-0.505116901660414,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,6.132841495510065,prculs-d,-1.7044384032220945,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,6.132841495510065,prcus-p,-1.8859726031824773,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,6.132841495510065,prcus-i,-3.240381886128855,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,6.132841495510065,prcus-a,-1.5181964666860874,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,6.132841495510065,ifrms,-2.5546186121034338,"Lasso(alpha=0.1, max_iter=10000)"
0.1,14.0,6.132841495510065,sspls-v,0.7851376469586246,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,6.619196209568831,mcgs,-0.8634001912722271,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,6.619196209568831,pos,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,6.619196209568831,sbps,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,6.619196209568831,prculs-d,-1.5580143388414407,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,6.619196209568831,prcus-p,-2.286496123008657,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,6.619196209568831,prcus-i,-3.4969669715515734,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,6.619196209568831,prcus-a,-1.6344829274647237,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,6.619196209568831,ifrms,-2.8212919021390945,"Lasso(alpha=0.1, max_iter=10000)"
0.1,15.0,6.619196209568831,sspls-v,0.579957045932524,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,6.38335885918321,mcgs,-0.9883493000013766,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,6.38335885918321,pos,0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,6.38335885918321,sbps,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,6.38335885918321,prculs-d,-1.5341404161830987,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,6.38335885918321,prcus-p,-2.3414505521067808,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,6.38335885918321,prcus-i,-3.5126425614486916,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,6.38335885918321,prcus-a,-1.6882809797266818,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,6.38335885918321,ifrms,-2.7965869174823377,"Lasso(alpha=0.1, max_iter=10000)"
0.1,16.0,6.38335885918321,sspls-v,0.4703906788218422,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,6.355337566003026,mcgs,-0.7898840145156518,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,6.355337566003026,pos,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,6.355337566003026,sbps,-0.0,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,6.355337566003026,prculs-d,-1.5702194032765893,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,6.355337566003026,prcus-p,-2.474320185092939,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,6.355337566003026,prcus-i,-3.5859716802422787,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,6.355337566003026,prcus-a,-1.7219756373641515,"Lasso(alpha=0.1, max_iter=10000)"
0.1,17.0,6.355337566003026,ifrms,-2.8528355504454574,"Lasso(alpha=0.1, max_iter=10000)"
