,sub,hemi,label,vertices,total_surface_area_(mm^2),total_gray_matter_volume_(mm^3),cortical_thickness_mean,cortical_thickness_std,rectified_mean_curvature,rectified_Gaussian_curvature,folding_index,intrinsic_curvature_index,mean_face_ct_ratio,max_face_ct_ratio,mean_pct_max_face_ct_ratio
0,44,lh,mFUS,155.0,104.0,401.0,2.886,0.34,0.161,0.037,4.0,0.1,0.33158403635025024,0.6965888738632202,0.10271172225475311
0,44,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,44,rh,mFUS,556.0,388.0,1088.0,2.589,0.446,0.157,0.036,11.0,0.8,0.44070929288864136,1.2593053579330444,0.07171241194009781
0,44,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,45,lh,mFUS,543.0,403.0,1178.0,2.725,0.394,0.145,0.021,7.0,0.5,0.4009605944156647,0.7256828546524048,0.08421295881271362
0,45,lh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,45,rh,mFUS,494.0,353.0,1061.0,2.792,0.555,0.138,0.023,7.0,0.5,0.4333471357822418,0.7803646326065063,0.06023494526743889
0,45,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,46,lh,mFUS,166.0,113.0,381.0,2.965,0.343,0.169,0.033,3.0,0.2,0.3129092752933502,0.42742475867271423,0.1129930317401886
0,46,lh,pFUS,170.0,119.0,382.0,2.846,0.413,0.116,0.019,1.0,0.2,0.39703091979026794,0.8068615198135376,0.14336976408958435
0,46,rh,mFUS,238.0,166.0,481.0,3.069,0.329,0.137,0.032,2.0,0.3,0.41290083527565,0.6149629950523376,0.11632383614778519
0,46,rh,pFUS,308.0,214.0,596.0,2.536,0.559,0.16,0.034,5.0,0.4,0.5996387004852295,1.2590230703353882,0.16893228888511658
0,47,lh,mFUS,242.0,169.0,584.0,2.596,0.441,0.205,0.062,9.0,0.5,0.55903160572052,1.4217031002044678,0.19431734085083008
0,47,lh,pFUS,290.0,204.0,659.0,2.63,0.365,0.145,0.032,4.0,0.4,0.5710266828536987,1.0223405361175537,0.19848677515983582
0,47,rh,mFUS,996.0,695.0,2107.0,2.466,0.65,0.128,0.024,13.0,1.0,1.037331461906433,2.306938648223877,0.35196617245674133
0,47,rh,pFUS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
