"","sub","hemi","pif","lft","fta","olfs","losa","losp","mosp","tolfs","tos","mosa","sf"
"76",282,"lh",4,3.422222222,2.095238095,2.134,2.559,2.691,2.981,2.676,2.908,2.607,3.219
"77",285,"lh",4.638888889,4.033333333,2.78968254,2.136,2.595,2.68,2.904,2.528,2.294,2.73,2.52
"78",286,"lh",3.388888889,2.861111111,2.285714286,2.071,3.474,2.662,2.516,3.165,2.849,3.016,2.582
"79",287,"lh",4.916666667,3.366666667,3.257936508,2.007,2.388,2.196,2.729,2.952,2.552,2.717,2.905
"80",288,"lh",4.611111111,4.111111111,3.071428571,2.249,2.614,2.534,3.295,3.523,2.816,2.884,3.95
"81",290,"lh",4.833333333,4.133333333,3.591269841,2.306,2.929,2.197,2.716,2.996,2.573,3.31,3.111
"82",291,"lh",4,3.616666667,2.904761905,2.222,2.127,2.57,2.238,2.604,2.38,2.181,3.155
"83",292,"lh",4.638888889,3.555555556,2.531746032,2.32,2.645,2.933,2.805,3.041,2.475,3.037,3.44
"84",293,"lh",2.416666667,2,1.746031746,2.143,2.544,2.257,2.774,2.759,2.452,2.502,3.38
"85",294,"lh",3.361111111,3.177777778,1.948412698,2.238,2.439,2.502,2.891,3.006,2.34,2.87,2.786
"86",295,"lh",4.527777778,3.361111111,3.511904762,2.137,2.397,2.985,2.688,3.073,2.381,2.84,3.113
"87",297,"lh",4.166666667,3.616666667,2.619047619,2.293,2.434,2.214,2.67,2.427,2.225,3.653,3.601
"88",299,"lh",3.75,3.472222222,2.833333333,2.128,2.289,2.231,2.562,3.179,2.441,2.899,2.97
"89",303,"lh",3.833333333,2.833333333,3.686507937,2.295,2.719,2.259,4.012,2.912,2.75,3.108,2.671
"90",304,"lh",4.305555556,3.716666667,2.630952381,2.171,3.322,2.38,2.9,2.938,2.447,2.82,3.208
"91",308,"lh",4.666666667,1,3.476190476,2.221,2.27,3.19,2.467,3.21,2.292,3.088,2.998
"92",310,"lh",3.472222222,2.916666667,3.53968254,2.318,2.474,2.444,2.518,2.897,2.424,2.68,2.479
"93",311,"lh",3.444444444,3.838888889,4.099206349,2.278,2.079,3.315,2.938,2.488,2.414,2.738,3.322
"94",314,"lh",3.611111111,3.277777778,2.912698413,2.23,2.93,3.2,3.162,3.31,2.618,3.124,2.878
"95",317,"lh",4.555555556,3.55,3.115079365,2.219,2.646,2.116,3.265,2.86,2.686,2.796,3.033
"96",318,"lh",4.583333333,4.238888889,3.976190476,2.238,2.409,2.171,3.117,3.184,2.524,2.994,3.63
"97",320,"lh",4,2.85,2.51984127,2.205,2.284,2.452,2.691,2.575,2.393,2.624,3.421
"98",323,"lh",3.833333333,2.533333333,2.26984127,2.369,2.092,2.486,2.829,3.546,2.338,2.476,3.353
"99",325,"lh",3.361111111,3.15,3.234126984,2.2,2.76,2.863,3.007,2.575,2.472,3.712,2.966
"100",332,"lh",3.166666667,1.983333333,2.535714286,2.039,3.049,2.776,3.586,2.973,2.757,3.915,2.562
"101",333,"lh",4.388888889,2.783333333,3.154761905,2.282,2.202,2.79,2.794,2.996,2.494,3.495,2.919
"102",336,"lh",3.444444444,3.466666667,3.686507937,2.167,2.797,2.379,2.847,3.155,2.676,3.109,3.323
"103",342,"lh",4.305555556,3.011111111,3.444444444,2.308,2.404,2.552,3.417,3.305,3.12,2.786,3.143
"104",345,"lh",4.194444444,1.961111111,2.948412698,2.19,3.728,2.551,2.726,3.375,2.606,3.1,3.126
"105",346,"lh",3.833333333,3.916666667,2.55952381,2.547,2.78,2.378,2.896,2.399,2.552,2.465,3.613
"106",103,"rh",4.888888889,3.288888889,2.738095238,2.476,2.567,2.204,3.017,3.309,2.573,2.787,2.55
"107",111,"rh",3.611111111,2.216666667,2.186507937,2.283,3.137,2.406,2.801,2.924,2.519,2.682,2.892
"108",115,"rh",2.888888889,2.722222222,2.900793651,2.205,2.469,3.117,3.055,3.151,2.508,2.3,3.129
"109",118,"rh",4.083333333,3.766666667,3.698412698,1.985,3.019,2.491,2.96,2.341,2.373,3.356,3.374
"110",123,"rh",2.722222222,2.327777778,2.591269841,2.243,2.553,2.758,2.985,2.871,2.302,3.34,2.866
"111",124,"rh",3.611111111,3.055555556,3.76984127,2.197,2.753,2.212,2.693,3.091,2.495,3.859,2.823
"112",127,"rh",3.388888889,4.4,3.134920635,2.06,3.311,2.456,2.753,2.884,2.645,3.238,3.206
"113",129,"rh",3.777777778,4.188888889,3.126984127,2.325,2.762,2.34,2.719,3.154,2.357,2.442,2.771
"114",130,"rh",3.277777778,3.094444444,3.78968254,2.449,2.123,2.512,3.106,3.658,2.457,2.529,2.486
"115",134,"rh",4.111111111,3.155555556,2.222222222,2.213,2.216,2.349,3.474,3.571,2.586,3.614,2.788
"116",142,"rh",3.472222222,1.688888889,2.928571429,2.416,2.417,2.307,2.448,2.719,2.517,2.662,2.876
"117",143,"rh",4.416666667,3.883333333,3.257936508,2.068,2.354,2.468,3.269,2.892,2.593,3.001,2.296
"118",149,"rh",3.305555556,2.377777778,3.285714286,2.194,3.462,2.664,2.851,3.26,2.892,2.996,2.898
"119",153,"rh",4.166666667,3.244444444,3.146825397,2.162,2.731,2.146,3.006,2.862,2.719,2.709,2.824
"120",160,"rh",4.388888889,4.233333333,1.587301587,2.352,3.243,3.067,2.878,3.326,2.455,3.165,3.194
"121",171,"rh",3.833333333,3.172222222,2.365079365,2.299,3.066,2.392,2.681,3.115,2.654,3.342,2.47
"122",176,"rh",2,1.616666667,2.76984127,1.985,2.397,3.416,2.483,2.785,2.574,2.585,2.706
"123",178,"rh",2.527777778,4.35,2.523809524,2.069,2.283,2.657,2.976,2.673,2.777,2.755,3.269
"124",179,"rh",4.305555556,3.083333333,1.678571429,2.334,2.489,3.706,2.715,3.366,2.45,2.444,2.855
"125",181,"rh",2.888888889,3.777777778,3.28968254,2.215,2.359,3.076,2.787,3.031,2.526,3.407,3.066
"126",184,"rh",2.694444444,2.133333333,2.611111111,2.343,2.409,2.204,2.831,2.522,2.358,3.193,3.147
"127",185,"rh",4.333333333,2.288888889,2.456349206,2.176,2.556,2.838,3.201,2.645,2.329,2.881,3.033
"128",187,"rh",4.277777778,3.283333333,3.301587302,2.027,1.911,2.242,2.896,2.741,2.42,3.129,2.283
"129",189,"rh",2.055555556,2.288888889,1.765873016,2.243,2.499,2.133,3.171,4.11,2.301,3.465,3.645
"130",190,"rh",4.472222222,3.422222222,2.888888889,2.175,2.782,3.519,3.165,3.327,2.674,2.995,2.371
"131",191,"rh",3.333333333,3.477777778,2.916666667,2.158,2.292,2.067,3.215,2.696,2.726,3.237,2.773
"132",194,"rh",4.416666667,1.972222222,3.083333333,2.02,2.146,2.697,3.9,2.273,2.5,2.565,2.927
"133",195,"rh",4,2.083333333,2.869047619,2.75,2.045,2.809,3.123,2.604,2.484,2.646,3.514
"134",196,"rh",3.527777778,3.227777778,2.630952381,2.021,4.128,2.421,2.605,3.607,2.403,2.285,3.17
