"","sub","hemi","pif","lft","fta","colfs","mosp","mosa","tos","losa","losp","sf"
"139",197,"rh",3.111111111,3.211111111,3.412698413,2.325,2.604,3.462,2.502,2.129,2.165,3.172
"140",202,"rh",3.25,3.466666667,2.876984127,2.242,2.92,3.485,2.634,2.845,2.202,2.042
"141",203,"rh",2.722222222,3.261111111,1.69047619,2.774,2.882,2.498,2.242,3.262,2.489,3.262
"142",205,"rh",2.722222222,4.288888889,2.781746032,2.35,2.875,2.792,2.732,2.755,2.712,2.619
"143",206,"rh",4.416666667,3.116666667,2.027777778,2.474,3.166,2.803,2.726,2.989,2.476,2.633
"144",212,"rh",3.833333333,4.183333333,2.325396825,2.497,2.71,2.592,2.039,2.693,2.436,2.72
"145",215,"rh",4.25,1.322222222,2.682539683,2.411,3.24,2.764,2.611,2.495,1.992,2.747
"146",216,"rh",3.25,3.05,1.718253968,2.502,2.903,3.019,2.477,3.518,2.786,3.466
"147",217,"rh",3.388888889,2.822222222,2.567460317,2.508,3.201,2.956,2.57,2,3.171,3.079
"148",218,"rh",4.5,3.438888889,3.333333333,2.5,2.671,2.519,2.36,2.908,2.37,3.124
"149",223,"rh",1.916666667,1.866666667,2.043650794,2.754,3.156,3.134,2.317,3.217,2.567,2.801
"150",228,"rh",3.388888889,2.805555556,2.972222222,2.591,2.884,2.968,2.641,3.063,2.536,2.044
"151",230,"rh",2.833333333,2.605555556,2.619047619,2.414,3.227,3.125,2.401,2.892,2.688,3.224
"152",232,"rh",4.416666667,3.488888889,1.587301587,2.407,2.717,3.387,2.424,2.675,2.621,2.867
"153",233,"rh",4.222222222,3.894444444,1.75,2.374,3.026,2.629,2.895,2.446,2.398,2.741
"154",234,"rh",2.777777778,2.144444444,2.349206349,2.396,3.093,3.446,2.441,2.894,2.317,2.821
"155",236,"rh",3.75,3.927777778,1.976190476,2.192,2.808,3.183,2.428,1.959,2.446,3.218
"156",237,"rh",2.361111111,1.483333333,2.73015873,2.579,2.905,3.072,2.689,2.879,2.319,3.098
"157",240,"rh",3.083333333,3.794444444,1.94047619,2.349,2.778,2.201,2.5,2.609,2.471,2.964
"158",244,"rh",4.055555556,4.5,4.198412698,1.893,2.968,2.753,2.541,2.266,2.494,3.204
"159",246,"rh",2.805555556,3.205555556,2.369047619,2.496,2.851,2.961,2.341,2.833,2.456,4.037
"160",248,"rh",2.805555556,2.511111111,1.226190476,2.254,2.649,2.21,2.622,2.596,2.256,2.476
"161",251,"rh",2.944444444,3.638888889,1.805555556,2.715,2.497,3.246,2.38,2.532,2.371,3.178
"162",252,"rh",2.638888889,3.105555556,1.825396825,2.159,3.079,2.536,2.533,2.244,2.582,2.612
"163",253,"rh",3.888888889,3.161111111,1.28968254,2.243,2.703,2.576,2.306,2.599,2.829,3.012
"164",256,"rh",3.777777778,3.316666667,2.206349206,2.294,3.086,3.264,2.61,2.735,2.559,3.247
"165",257,"rh",3.805555556,4.044444444,2.293650794,2.508,2.771,3.043,2.468,2.539,3.042,3.789
"166",258,"rh",5,4.088888889,4.027777778,2.558,3.027,3.314,2.567,3.02,2.836,3.078
"167",259,"rh",5,4.388888889,4.523809524,2.313,2.919,3.117,2.316,2.208,2.635,3.033
"168",263,"rh",3.555555556,2.077777778,3.424603175,2.481,2.559,2.984,2.259,2.596,2.179,3.367
"169",266,"rh",4.583333333,3.688888889,3.619047619,2.322,3.677,3.405,2.41,2.351,2.529,2.747
"170",268,"rh",2.722222222,3.711111111,3.674603175,2.518,3.071,3.093,2.612,3.63,2.902,2.62
"171",269,"rh",2.527777778,2.005555556,2.488095238,2.51,2.74,3.003,2.528,2.243,2.413,2.875
"172",270,"rh",4.166666667,3.383333333,3.583333333,2.347,2.795,2.413,2.533,2.843,2.057,2.791
"173",272,"rh",2.472222222,3.388888889,3.158730159,2.174,2.76,2.663,2.496,2.211,2.528,2.401
"174",273,"rh",3.333333333,3.283333333,2.972222222,2.52,2.798,3.155,2.674,2.159,2.802,3.567
"175",274,"rh",4.277777778,2.894444444,2.972222222,2.583,3.151,2.864,3.088,2.461,3.47,2.386
"176",275,"rh",4.75,2.561111111,4.134920635,2.544,3.026,2.909,2.658,3.395,2.693,2.904
