"","X","sub","hemi","species","X.1","label","vertices","total_surface_area_.mm.2..x","total_gray_matter_volume_.mm.3.","cortical_thickness_mean","cortical_thickness_std","rectified_mean_curvature","rectified_Gaussian_curvature","folding_index","intrinsic_curvature_index","sulcal_depth_mean","sulcal_depth_max","sulcal_depth_mean_pct","normalized_SA"
"155",391,"106521","rh","human",1244,"csts-2",689,518,1153,2.521,0.415,0.11,0.016,4,0.5,0.00846288911998272,0.666784703731537,0.00453907158225775,0.00522889012264675
"156",392,"106521","rh","human",1245,"csts-3",1527,1104,2492,2.475,0.4,0.105,0.017,7,1.2,0.55506819486618,1.51624202728271,0.297710865736008,0.0111441982536718
"157",397,"107018","lh","human",1250,"csts-1",504,355,815,2.61,0.292,0.105,0.018,2,0.4,0.142065390944481,0.675684213638306,0.0754400864243507,0.00451257801675374
"158",398,"107018","lh","human",1251,"csts-2",753,533,1244,2.507,0.348,0.106,0.017,4,0.6,0.374045610427856,1.30313336849213,0.198627084493637,0.00677522276881618
"159",399,"107018","lh","human",1252,"csts-3",686,488,1108,2.611,0.476,0.123,0.02,5,0.6,0.526675462722778,1.51768493652344,0.279677152633667,0.006203205837115
"160",404,"107018","rh","human",1257,"csts-1",633,472,1100,2.551,0.278,0.107,0.015,3,0.6,0.398404866456985,1.15770959854126,0.19745759665966,0.00600875852938181
"161",405,"107018","rh","human",1258,"csts-2",764,547,1442,2.864,0.511,0.119,0.021,4,0.8,0.237393662333488,1.46621251106262,0.117657169699669,0.00696354007536409
"162",406,"107018","rh","human",1259,"csts-3",998,701,1649,2.634,0.403,0.107,0.014,6,0.6,0.673881828784943,1.61851918697357,0.33398962020874,0.00892402484978104
"163",412,"107220","lh","human",1265,"csts-1",824,580,1402,2.695,0.431,0.076,0.012,2,0.5,0.726086497306824,1.6068332195282,0.40480974316597,0.00651063590952461
"164",413,"107220","lh","human",1266,"csts-2",535,388,915,2.589,0.354,0.083,0.011,1,0.3,0.527080416679382,1.27986526489258,0.293859392404556,0.00435539091878543
"165",414,"107220","lh","human",1267,"csts-3",717,515,1171,2.419,0.32,0.114,0.017,4,0.6,0.121923469007015,0.952798962593079,0.0679751113057137,0.00578099567828478
"166",420,"107220","rh","human",1273,"csts-1",774,542,1243,2.704,0.387,0.105,0.019,4,0.7,0.52161169052124,1.44186019897461,0.285036265850067,0.00609118800642834
"167",421,"107220","rh","human",1274,"csts-2",1609,1147,2742,2.643,0.361,0.092,0.012,6,1,0.53244960308075,1.275918841362,0.290958642959595,0.0128903923309471
"168",422,"107220","rh","human",1275,"csts-3",400,315,748,2.425,0.312,0.115,0.018,2,0.3,0.326525270938873,1.1548627614975,0.178430706262589,0.00354008159045189
"169",428,"107321","lh","human",1281,"csts-1",971,688,1517,2.474,0.367,0.118,0.021,6,1,0.196460694074631,1.50536227226257,0.0994286611676216,0.00821012183916276
"170",429,"107321","lh","human",1282,"csts-2",1691,1208,2685,2.502,0.373,0.106,0.017,9,1.3,0.516081094741821,1.34270536899567,0.261188387870789,0.0144154464850416
"171",430,"107321","lh","human",1283,"csts-3",447,341,608,2.128,0.396,0.137,0.024,3,0.5,0.348787814378738,1.06277048587799,0.176521331071854,0.00406926096970131
"172",435,"107321","rh","human",1288,"csts-1",1400,989,2130,2.35,0.317,0.106,0.019,7,1.2,0.455546259880066,1.52722454071045,0.221804291009903,0.0116059379217274
"173",436,"107321","rh","human",1289,"csts-2",747,530,1185,2.532,0.417,0.129,0.023,5,0.8,0.315339535474777,1.45546817779541,0.15353798866272,0.00621956228363551
"174",437,"107321","rh","human",1290,"csts-3",1435,1045,2157,2.356,0.365,0.106,0.018,7,1.2,0.504448115825653,1.50656414031982,0.245614483952522,0.012263099219621
"175",443,"107422","lh","human",1296,"csts-1",1000,726,1677,2.556,0.411,0.126,0.022,6,1.2,0.316791176795959,1.37884306907654,0.16423299908638,0.00780737506586801
"176",444,"107422","lh","human",1297,"csts-2",635,448,995,2.571,0.443,0.111,0.018,3,0.6,0.938788175582886,1.70818638801575,0.486692786216736,0.00481777414532902
"177",445,"107422","lh","human",1298,"csts-3",645,469,1134,2.796,0.447,0.129,0.022,5,0.7,0.533961713314056,1.23640096187592,0.276819974184036,0.00504360730839132
"178",451,"107422","rh","human",1304,"csts-1",1071,765,1715,2.497,0.31,0.107,0.019,5,1,0.533430516719818,1.27932953834534,0.266280949115753,0.00821335394724128
"179",452,"107422","rh","human",1305,"csts-2",669,482,1082,2.605,0.378,0.117,0.021,4,0.7,0.255768150091171,0.809842526912689,0.12767581641674,0.00517494980728143
"180",453,"107422","rh","human",1306,"csts-3",735,530,1136,2.568,0.46,0.103,0.013,4,0.5,0.745232284069061,1.49604368209839,0.37200939655304,0.00569029750593187
"181",459,"107725","lh","human",812,"csts-1",1116,804,1822,2.39,0.36,0.1,0.014,5,0.7,0.195830732584,0.985493242740631,0.107781864702702,0.00997729049551394
"182",460,"107725","lh","human",813,"csts-2",496,358,826,2.415,0.258,0.117,0.014,3,0.3,-0.151271298527718,0.319843947887421,-0.0832571089267731,0.00444262437486815
"183",461,"107725","lh","human",814,"csts-3",856,598,1304,2.416,0.306,0.1,0.016,4,0.6,0.663383722305298,1.47199273109436,0.365114986896515,0.00742092004517082
"184",467,"107725","rh","human",820,"csts-1",621,442,914,2.355,0.333,0.124,0.024,3,0.7,0.34417337179184,1.43934810161591,0.173169925808907,0.00540725697927626
"185",468,"107725","rh","human",821,"csts-2",762,549,1224,2.405,0.259,0.093,0.015,3,0.5,0.263426214456558,1.06073009967804,0.132542207837105,0.00671625357833182
"186",469,"107725","rh","human",822,"csts-3",343,235,590,2.591,0.409,0.107,0.015,2,0.3,0.368413597345352,1.08372068405151,0.185366332530975,0.00287489907269213
"187",475,"108121","lh","human",1312,"csts-1",649,483,1298,2.906,0.41,0.113,0.017,3,0.5,0.154521122574806,0.78464949131012,0.0785528719425201,0.00729034595182032
"188",476,"108121","lh","human",1313,"csts-2",443,315,805,2.844,0.294,0.099,0.016,2,0.3,0.5030317902565,1.28496730327606,0.255722939968109,0.00475457344683934
"189",477,"108121","lh","human",1314,"csts-3",756,539,1264,2.693,0.331,0.103,0.019,3,0.6,0.681658864021301,1.40332734584808,0.34653040766716,0.00813560345348065
"190",483,"108121","rh","human",1320,"csts-1",462,326,778,2.737,0.397,0.11,0.014,2,0.4,0.0972172468900681,0.536084532737732,0.0494549572467804,0.00486276849642005
"191",484,"108121","rh","human",1321,"csts-2",1223,858,2095,2.734,0.395,0.103,0.016,5,1,0.58997368812561,1.36166965961456,0.300122946500778,0.0127983293556086
"192",485,"108121","rh","human",1322,"csts-3",217,161,367,2.485,0.343,0.119,0.021,1,0.2,0.639066636562347,1.10507655143738,0.325096786022186,0.00240155131264916
"193",491,"108222","lh","human",1328,"csts-1",1000,731,1620,2.488,0.393,0.105,0.015,6,0.7,0.272048145532608,1.29065525531769,0.154920354485512,0.00772629264786708
"194",492,"108222","lh","human",1329,"csts-2",1212,868,1888,2.468,0.349,0.1,0.015,5,0.8,0.606116473674774,1.60998487472534,0.345158755779266,0.00917431192660551
"195",493,"108222","lh","human",1330,"csts-3",1129,823,1689,2.325,0.403,0.111,0.019,6,0.9,0.479455322027206,1.15307056903839,0.273030310869217,0.00869868515621697
"196",499,"108222","rh","human",1336,"csts-1",1948,1460,3305,2.417,0.318,0.1,0.014,8,1.3,0.52509880065918,1.53717601299286,0.283706188201904,0.0151865027356508
"197",500,"108222","rh","human",1337,"csts-2",791,584,1249,2.411,0.274,0.092,0.013,3,0.5,0.289249300956726,0.939663767814636,0.156278818845749,0.00607460109426033
"198",501,"108222","rh","human",1338,"csts-3",1387,1002,2067,2.346,0.312,0.098,0.013,6,1,0.505164444446564,1.33007669448853,0.272935897111893,0.0104225176309056
"199",507,"108323","lh","human",1344,"csts-1",746,536,1311,2.633,0.323,0.112,0.018,4,0.6,0.377155840396881,1.11166298389435,0.204507455229759,0.00660261148066026
"200",508,"108323","lh","human",1345,"csts-2",532,372,817,2.426,0.401,0.096,0.013,2,0.4,0.696858704090118,1.59995973110199,0.377861887216568,0.00458240946045824
"201",509,"108323","lh","human",1346,"csts-3",695,500,1023,2.388,0.361,0.099,0.017,2,0.6,0.51557844877243,1.1342636346817,0.279565215110779,0.00615915250061592
"202",515,"108323","rh","human",1352,"csts-1",1086,811,1969,2.719,0.328,0.112,0.018,5,0.9,0.465465635061264,1.43397235870361,0.246898472309113,0.00987086330497438
"203",516,"108323","rh","human",1353,"csts-2",405,294,717,2.535,0.356,0.107,0.015,2,0.3,-0.0126348845660686,0.451609879732132,-0.00670196395367384,0.00357834008836309
"204",517,"108323","rh","human",1354,"csts-3",1210,903,2000,2.392,0.338,0.1,0.014,5,0.7,0.66072940826416,1.40399372577667,0.350472897291183,0.0109906159856866
"205",523,"108525","lh","human",1360,"csts-1",243,170,435,2.581,0.319,0.067,0.008,0,0.1,0.187206238508224,0.809247672557831,0.10207511484623,0.00216709583662647
"206",524,"108525","lh","human",1361,"csts-2",1619,1157,2734,2.618,0.356,0.099,0.016,6,1.2,0.520867824554443,1.33107507228851,0.284005761146545,0.0147489993116284
"207",525,"108525","lh","human",1362,"csts-3",397,283,605,2.379,0.322,0.104,0.017,2,0.3,0.277503937482834,0.730208992958069,0.151310384273529,0.00360757718685465
